,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
323,Fulham,West Ham,31,39,39,50,36,43,D,L,L,W,W,L,7,9,3,18,2,3,2,11,0,0,8,4,1,8,19,17,33,A
6447,Man City,Brighton,102,33,26,47,94,40,D,W,W,W,D,D,15,19,11,9,2,7,4,1,0,0,10,7,5,4,3,19,37,H
6027,Burnley,Man United,32,50,44,24,36,63,D,W,L,W,W,W,7,7,12,9,2,3,6,3,0,0,3,3,3,1,19,4,33,A
995,Tottenham,Portsmouth,27,25,33,33,27,23,L,W,W,D,L,W,4,7,17,8,4,3,10,3,0,0,13,5,6,2,10,19,24,H
2102,Chelsea,Fulham,35,20,15,30,46,25,D,W,W,D,D,W,16,8,15,11,5,5,9,7,0,0,6,6,9,2,1,12,21,D
2737,Stoke,Tottenham,8,4,14,10,4,2,L,L,D,L,L,D,8,5,27,15,5,2,16,8,0,0,5,5,12,6,19,11,8,H
3171,Fulham,Bolton,17,16,15,27,18,12,W,L,D,D,L,L,8,12,4,15,4,5,2,8,0,0,3,7,5,7,7,13,14,D
2164,West Ham,Watford,18,15,41,37,20,18,L,L,D,W,L,L,7,13,8,7,2,6,5,3,0,0,6,4,4,5,9,19,27,A
5164,Man United,Leicester,36,20,21,34,40,17,W,L,D,L,W,D,12,10,7,11,7,0,3,3,0,0,3,3,6,6,7,19,23,H
601,Middlesbrough,Southampton,25,25,21,20,29,35,L,L,W,W,W,D,7,12,12,18,3,4,6,6,0,0,2,8,5,17,11,12,23,D
6026,West Ham,Everton,42,57,57,36,36,54,W,L,L,W,D,L,14,7,12,11,6,2,7,4,0,0,4,0,4,5,7,11,33,D
1731,Portsmouth,Everton,16,14,33,31,17,23,L,W,L,W,W,L,8,17,13,9,4,7,6,5,0,0,6,8,5,5,16,4,22,A
1602,Wigan,Newcastle,8,5,5,7,16,9,W,W,W,D,W,W,12,16,6,8,6,9,3,6,1,0,6,4,4,3,19,14,9,H
6703,Chelsea,Huddersfield,40,13,23,41,47,11,L,L,W,L,L,D,11,13,10,5,7,1,2,2,0,0,7,6,3,1,5,16,25,H
302,Derby,Everton,26,29,47,36,29,33,W,L,D,W,L,D,3,0,5,6,2,0,2,2,0,1,3,1,0,3,16,15,31,A
4877,Cardiff,Crystal Palace,26,20,58,39,25,31,L,L,W,W,L,D,9,10,14,8,3,3,4,1,0,0,4,5,2,5,19,19,32,A
5298,Arsenal,Swansea,66,43,34,44,70,53,L,W,D,W,W,L,23,22,16,11,9,9,4,6,0,0,6,5,6,6,4,12,36,A
3328,Man United,Fulham,66,32,24,29,60,38,W,L,D,D,W,W,12,11,3,11,9,5,1,6,0,0,6,12,2,3,1,7,29,H
3689,Everton,Sunderland,33,32,36,31,30,37,L,W,L,L,L,W,9,23,11,4,4,16,7,3,0,0,4,9,4,0,8,13,27,H
4868,Man United,Aston Villa,48,33,34,42,51,34,W,L,W,L,W,W,16,13,12,13,7,1,3,4,0,0,7,3,5,4,1,14,31,H
867,Fulham,Liverpool,20,15,13,11,18,14,W,L,D,W,L,L,12,4,20,13,7,4,9,7,0,0,2,4,9,3,13,5,11,A
2215,Portsmouth,Man United,37,74,32,21,43,78,D,D,L,W,W,W,10,10,27,15,7,5,17,7,0,0,4,4,8,1,17,2,32,H
6254,Man City,Tottenham,52,30,11,14,49,31,W,W,W,W,W,D,23,14,25,20,10,7,8,11,0,0,5,8,10,12,3,2,18,H
6724,Burnley,Tottenham,29,54,47,25,27,60,W,D,D,W,W,W,9,15,12,21,5,6,5,4,0,0,3,4,2,6,7,3,27,H
4296,West Brom,Chelsea,17,23,12,11,20,24,W,W,L,D,D,L,7,16,12,11,4,6,3,7,0,0,8,8,4,6,12,6,12,H
2404,Portsmouth,Man City,23,16,13,13,22,25,W,D,W,W,L,W,10,10,7,7,7,3,3,4,0,0,5,11,2,3,9,14,13,D
4607,Cardiff,Tottenham,4,4,5,1,5,9,D,D,W,W,L,W,10,4,23,14,2,1,7,4,0,0,2,4,8,6,19,5,5,A
1431,Charlton,West Brom,34,25,38,50,43,21,W,D,D,L,W,D,5,9,7,12,2,6,4,7,0,0,5,5,3,13,8,19,30,A
3757,Stoke,Wolves,40,37,43,57,39,33,D,L,D,D,L,L,4,10,12,11,3,5,3,7,0,0,8,5,3,13,11,15,34,H
3070,Stoke,Sunderland,2,4,4,4,4,6,D,L,W,W,L,W,13,6,8,4,3,3,5,3,0,0,3,5,0,1,11,16,4,H
4640,Aston Villa,Everton,9,12,10,10,10,15,L,D,W,W,L,W,15,18,14,6,2,4,6,4,0,0,4,7,5,1,14,6,9,A
3962,Everton,Swansea,17,16,19,20,20,18,W,D,L,D,W,L,13,28,3,16,6,15,0,8,0,0,9,13,1,6,7,19,17,H
21,Southampton,Chelsea,0,3,4,1,0,4,L,L,M,W,D,M,8,11,7,13,2,6,2,8,0,0,6,3,2,12,10,6,3,A
4710,Cardiff,West Brom,11,17,22,21,14,15,L,D,L,L,L,L,10,14,26,12,2,3,12,1,0,0,3,5,10,3,19,8,16,H
4944,Stoke,Aston Villa,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,A
5516,West Brom,Stoke,18,20,24,19,23,29,W,L,L,W,W,L,22,9,8,13,5,3,5,3,0,0,18,7,2,1,13,9,20,H
4719,Tottenham,Liverpool,15,34,16,18,27,30,W,W,D,W,W,L,22,18,32,28,5,5,9,12,0,0,10,7,8,4,5,7,16,A
5665,Tottenham,West Brom,64,31,25,42,68,40,W,W,D,L,L,L,23,16,8,16,6,8,1,4,0,0,3,2,6,9,5,13,35,D
998,Man City,Birmingham,32,20,35,26,23,32,L,D,L,D,D,D,9,10,7,15,8,7,2,5,1,0,4,4,5,2,9,14,24,D
1079,Fulham,Blackburn,42,42,40,52,41,31,D,D,L,L,L,W,6,5,9,14,5,2,2,9,0,0,4,1,4,5,13,6,32,A
1372,Crystal Palace,Tottenham,24,29,37,23,18,33,L,W,L,L,D,W,7,14,12,7,2,9,4,5,0,0,7,7,4,2,19,13,24,H
3370,Liverpool,Fulham,54,35,33,37,55,42,D,W,L,D,W,L,16,25,2,7,8,16,2,5,0,0,4,9,1,6,2,7,34,D
395,Middlesbrough,Fulham,0,4,0,1,1,3,D,M,M,W,M,M,11,0,13,0,5,0,6,0,0,0,4,0,7,0,11,13,2,D
5049,West Brom,Newcastle,13,11,13,15,13,13,W,D,D,W,W,W,8,17,14,8,3,4,3,2,0,0,3,6,7,2,17,10,11,A
3426,Wigan,Blackpool,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,1,A
4476,Arsenal,Reading,55,35,32,56,50,23,W,L,W,L,L,L,15,10,10,12,11,6,4,6,0,0,7,6,6,10,3,19,30,H
6221,Brighton,Liverpool,13,28,14,18,17,26,D,L,D,W,D,W,10,8,14,16,4,2,7,4,0,0,10,0,9,7,19,4,15,A
3570,Arsenal,Fulham,32,15,17,18,29,15,W,L,W,D,L,D,17,12,11,9,10,7,7,3,0,0,8,2,7,7,3,12,16,H
375,Liverpool,Ipswich,62,41,30,59,77,36,W,L,W,L,W,L,15,11,12,17,7,7,4,7,0,0,8,8,5,4,3,5,38,H
2188,Man City,Chelsea,20,50,34,19,30,63,L,L,L,W,W,W,8,4,10,15,2,3,5,5,0,0,5,9,5,5,15,1,29,A
2928,Portsmouth,Chelsea,29,45,43,15,28,52,D,W,L,W,D,L,6,15,18,13,2,9,12,6,0,0,3,8,11,13,8,2,27,A
5841,Burnley,Bournemouth,12,19,23,22,14,18,L,L,L,W,L,W,14,10,12,9,4,5,8,3,0,0,9,5,4,10,19,16,15,H
6330,Arsenal,Everton,46,28,34,40,42,31,L,W,L,W,D,L,9,16,9,9,4,10,4,4,0,0,3,5,5,0,5,7,26,H
6,Sunderland,Ipswich,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,H
5570,Bournemouth,Stoke,29,24,41,31,28,33,L,W,D,L,L,L,17,8,11,10,4,4,3,0,0,0,7,3,6,5,19,9,26,A
