,Date,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
56,2001-09-23,Leeds,Derby,6,5,1,7,11,5,W,D,D,L,D,D,20,11,15,6,9,6,9,3,0,0,9,7,8,3,4,16,6,H
57,2001-09-23,West Ham,Newcastle,4,10,4,9,5,8,W,L,D,L,W,W,17,5,8,15,9,1,5,8,0,0,10,1,7,8,17,11,6,H
58,2001-09-24,Southampton,Aston Villa,2,7,9,3,3,9,L,W,L,W,D,W,12,10,11,8,4,6,5,3,1,1,2,2,3,10,10,8,6,A
59,2001-09-26,Newcastle,Leicester,10,5,9,14,8,4,L,W,W,L,W,D,8,15,10,12,5,8,5,6,0,0,7,8,4,8,11,13,6,H
60,2001-09-29,Bolton,Sunderland,9,4,3,5,11,8,D,L,D,L,D,W,10,4,14,4,5,0,8,2,0,0,2,3,11,3,19,7,7,A
61,2001-09-29,Charlton,Leicester,7,5,7,14,8,5,W,D,L,D,L,W,14,13,12,10,12,5,5,5,1,0,4,8,4,4,9,13,7,H
62,2001-09-29,Derby,Arsenal,5,14,10,5,5,11,L,L,D,D,W,D,9,15,23,11,2,9,12,6,0,0,3,8,17,5,16,2,7,A
63,2001-09-29,Everton,West Ham,7,4,10,9,7,5,L,L,L,L,W,L,14,11,15,17,7,5,5,9,0,0,4,4,4,10,15,17,7,H
64,2001-09-29,Middlesbrough,Southampton,5,5,12,10,6,6,W,W,L,W,L,W,13,13,8,12,6,5,4,4,0,0,2,8,0,2,14,10,7,A
65,2001-09-29,Tottenham,Man United,8,17,7,10,8,11,W,L,W,W,L,W,13,11,13,10,6,4,8,7,0,0,4,6,8,5,12,1,7,A
66,2001-09-30,Aston Villa,Blackburn,9,7,3,8,12,6,W,W,D,D,D,L,5,11,20,6,2,5,8,4,0,0,2,3,10,13,8,19,7,H
67,2001-09-30,Fulham,Chelsea,6,10,7,7,6,10,D,L,D,D,D,W,6,6,9,8,2,3,3,3,0,1,4,4,7,8,19,6,7,D
68,2001-09-30,Ipswich,Leeds,5,9,9,1,5,14,L,D,D,W,W,D,8,20,19,20,1,10,10,9,0,0,4,6,9,9,5,4,7,A
69,2001-09-30,Newcastle,Liverpool,11,10,9,7,11,12,W,L,W,W,W,W,12,8,6,14,6,5,2,6,0,0,10,7,0,2,11,3,7,A
70,2001-10-13,Bolton,Newcastle,10,11,4,11,12,11,D,D,L,L,W,L,7,10,7,12,4,5,3,6,1,0,0,2,7,10,19,11,8,A
71,2001-10-13,Charlton,Middlesbrough,7,7,7,14,9,7,D,W,D,D,W,W,8,14,4,13,4,12,2,6,0,0,13,4,2,2,9,14,8,D
72,2001-10-13,Chelsea,Leicester,12,5,7,15,13,5,W,D,D,L,D,L,22,9,2,12,10,3,2,5,0,0,5,7,1,4,6,13,8,H
73,2001-10-13,Ipswich,Everton,6,12,11,10,5,10,L,L,D,W,L,L,11,8,18,14,6,1,11,7,0,0,10,4,8,4,5,15,8,D
74,2001-10-13,Liverpool,Leeds,11,11,8,2,13,17,D,W,W,W,W,W,10,6,11,19,2,2,7,10,0,0,6,0,8,9,3,4,8,D
75,2001-10-13,Southampton,Arsenal,5,16,12,5,6,14,L,W,L,W,D,W,3,8,11,23,0,4,6,12,1,1,1,0,5,17,10,2,8,A
76,2001-10-13,Sunderland,Man United,6,22,7,13,9,14,D,L,D,W,W,L,22,14,18,13,13,8,9,8,0,0,9,11,7,8,7,1,8,A
77,2001-10-14,Aston Villa,Fulham,11,7,3,8,15,7,W,W,W,D,D,L,9,5,4,6,3,2,1,2,0,0,5,2,5,4,8,19,8,H
78,2001-10-14,Blackburn,West Ham,8,5,8,16,9,5,W,D,D,L,L,W,13,20,12,15,6,8,5,5,0,1,5,10,7,4,19,17,8,H
79,2001-10-15,Tottenham,Derby,8,5,8,12,8,5,L,W,L,L,L,L,11,13,7,9,5,6,5,2,0,0,5,4,2,3,12,16,8,H
80,2001-10-20,Arsenal,Blackburn,18,8,5,10,17,9,W,W,D,L,W,D,21,11,4,13,8,6,1,6,0,0,6,5,8,5,2,19,9,D
81,2001-10-20,Derby,Charlton,6,8,15,8,5,10,L,L,L,D,D,W,8,7,11,8,6,5,7,4,0,0,2,2,5,13,16,9,9,D
82,2001-10-20,Everton,Aston Villa,12,13,10,6,11,15,D,W,L,L,W,W,9,18,11,9,6,11,3,3,0,0,6,8,4,5,15,8,9,H
83,2001-10-20,Leicester,Liverpool,5,15,17,9,5,16,L,L,D,W,D,W,9,2,12,10,6,2,6,2,1,0,4,1,6,6,13,3,9,A
84,2001-10-20,Man United,Bolton,25,10,14,6,17,12,W,W,W,L,D,D,13,18,15,7,8,9,8,4,0,0,4,7,8,0,1,19,9,A
85,2001-10-20,West Ham,Southampton,7,5,16,14,8,6,W,L,L,L,L,W,20,12,10,3,8,5,3,0,0,1,10,7,7,1,17,10,9,H
86,2001-10-21,Fulham,Ipswich,7,6,10,11,7,6,L,D,D,D,L,L,11,4,7,11,3,1,4,6,0,0,2,5,8,10,19,5,9,D
87,2001-10-21,Leeds,Chelsea,12,12,3,7,18,14,D,W,W,D,W,D,9,11,14,22,3,7,6,10,0,0,4,8,8,5,4,6,9,D
88,2001-10-21,Newcastle,Tottenham,15,11,11,13,14,8,W,L,W,L,L,W,15,7,7,11,8,3,3,5,0,0,8,7,4,5,11,12,9,A
89,2001-10-22,Middlesbrough,Sunderland,8,8,17,7,7,12,L,D,W,W,D,L,5,4,14,22,3,2,7,13,0,0,6,2,4,9,14,7,9,H
90,2001-10-24,Aston Villa,Charlton,14,8,6,9,18,10,W,L,W,L,D,D,16,11,4,11,6,3,0,7,0,0,3,4,4,5,8,9,10,H
91,2001-10-24,Southampton,Ipswich,8,7,17,12,7,7,D,L,L,D,D,L,11,10,6,7,6,3,2,4,0,0,4,7,3,8,10,5,10,D
92,2001-10-24,West Ham,Chelsea,9,13,17,9,11,14,W,W,L,L,D,W,10,20,15,14,4,8,5,6,0,0,1,10,8,8,17,6,10,H
93,2001-10-27,Aston Villa,Bolton,14,10,6,10,18,12,W,L,W,L,L,D,16,11,9,15,6,3,3,8,0,1,3,4,7,8,8,19,10,H
94,2001-10-27,Charlton,Liverpool,8,17,9,9,10,19,L,D,D,W,W,D,4,11,5,12,0,7,4,6,0,1,4,5,1,6,9,3,10,A
95,2001-10-27,Everton,Newcastle,15,15,12,13,14,14,W,D,W,L,W,L,10,9,8,15,6,6,3,8,0,0,8,6,7,8,15,11,10,A
96,2001-10-27,Fulham,Southampton,8,8,11,17,8,7,D,L,D,D,L,L,7,11,11,10,3,3,6,3,1,0,3,2,4,7,19,10,10,H
97,2001-10-27,Man United,Leeds,26,12,16,3,17,19,L,W,W,D,D,W,13,13,18,9,6,8,12,3,0,0,8,4,10,4,1,4,10,D
98,2001-10-27,Sunderland,Arsenal,9,21,10,8,12,18,L,W,D,D,W,W,15,14,18,21,7,7,11,8,0,0,3,4,5,6,7,2,10,D
